Probintziak	Gasolina.kotxeak	Gas-oil.kotxeak	Beste.kotxeak
Alacant	65739	87069	99
Albacete 467140	471954	451
Almeria	109162	227605	86
Araba	32227	53601	25
Asturias	121167	232462	55
Avila	434559	249707	448
Badajoz	1187551	1246911	2718
Balearrak	75596	108591	88
Bartzelona	76094	132627	43
Bizkaia	214529	331524	80
Burgos	125638	168238	108
Caceres	83567	152777	49
Cadiz	124821	232826	138
Castelló	201691	395168	156
Ciudad.Real	33180	73286	26
Coruña	201100	191520	248
Cuenca	167340	272461	76
Errioxa	43385	86684	39
Gipuzkoa	125184	188735	178
Girona	88921	148342	55
Granada	43895	68456	48
Guadalajara	90795	185855	58
Huelva	108937	142195	74
Huesca	85653	132730	105
Jaen	55816	84553	44
Kantabria	56624	137533	48
Kordoba	1394487	2040981	6894
Palmak	332193	447589	421
Leon	246833	468546	209
Lleida	116688	194260	143
Lugo	66114	114261	44
Madril	190711	311579	189
Malaga	32086	57177	41
Murtzia 	431150	114982	568
Nafarroa	171975	340299	255
Ourense	64886	103630	43
Palentzia	425343	96150	353
Pontevedra	112329	182134	143
Salamanca	32221	53578	19
Segovia	327079	566898	410
Sevilla	18263	29301	13
Soria	178830	208707	198
Tarragona	24919	45575	13
Tenerife	106261	256390	180
Toledo	102547	153315	101
Valentzia	202492	300965	960
Valladolid	37615	59788	23
Zamora	175957	226074	354
Zaragoza	20774	20362	18

