Luzera_(mm)	Diametroa_(mm)
79.26	2.93
64.65	2.31
26.05	4.10
54.52	1.49
55.62	3.58
44.38	5.90
49.12	4.26
76.41	4.99
24.05	1.06
44.26	4.84
49.26	2.33
26.53	1.97
51.84	2.23
32.43	2.15
53.26	3.25
41.04	4.13
43.67	5.52
22.12	2.00
68.95	2.19
31.86	2.15
66.46	4.32
63.06	3.65
56.25	3.13
45.69	3.83
31.44	5.29
56.40	1.74
20.48	1.46
67.78	4.53
35.63	5.82
37.06	4.20
76.04	2.32
45.12	1.60
67.92	4.67
62.94	2.12
59.64	2.44
40.64	2.29
79.69	1.41
75.76	1.07
47.50	1.27
48.24	1.31
33.50	5.35
62.73	4.75
62.63	1.89
47.12	1.33
68.24	4.81
70.12	1.79
64.51	2.68
29.79	5.24
41.56	2.95
67.43	4.95
67.84	4.95
40.95	4.90
58.60	4.95
47.45	1.27
27.87	3.55
70.27	5.03
64.38	4.33
53.15	3.43
42.80	4.04
54.92	3.36
59.87	2.42
52.70	5.32
78.12	3.61
21.07	3.20
30.36	2.95
67.24	5.19
39.38	1.54
21.59	5.97
58.96	4.54
51.67	1.59
55.36	2.58
72.80	4.59
25.34	3.18
78.56	5.23
77.44	3.83
35.26	1.19
64.34	3.39
58.94	3.53
56.16	4.71
24.21	3.26
36.19	5.57
51.86	4.64
47.76	2.06
78.59	4.69
39.78	4.93
67.17	3.75
34.69	4.28
56.47	3.64
44.44	2.59
50.90	3.26
71.76	4.05
77.80	1.34
73.12	3.02
63.03	4.71
78.21	3.61
32.82	2.09
22.31	5.05
55.22	4.69
73.47	4.62
47.20	1.88
55.03	3.67
55.09	4.99
45.71	4.02
59.05	5.26
63.29	3.11
23.58	2.55
25.27	2.96
62.19	4.28
60.00	1.96
55.23	5.33
45.23	3.40
58.97	2.69
43.53	5.96
70.02	1.47
22.08	3.09
