Eroankortasuna_Fabrikatzailea1	Eroankortasuna_Fabrikatzailea2
252.64	245.87
246.72	248.92
243.87	244.34
254.51	251.74
254.84	245.57
251.19	251.53
247.96	244.52
246.07	247.76
243.11	249.44
243.17	247.68
248.75	247.46
253.33	255.46
243.90	248.08
248.29	253.85
252.66	NA
253.46	247.99
254.77	246.97
249.82	252.09
244.48	253.96
243.79	247.07
243.31	249.63
246.73	254.56
246.83	255.59
250.55	252.26
244.26	250.33
252.42	249.83
247.64	255.37
249.63	245.79
252.41	247.49
252.03	254.48
253.69	252.37
247.36	249.70
243.43	248.72
247.19	251.67
247.71	245.79
245.07	252.02
249.22	244.52
243.79	253.98
246.43	254.98
245.42	253.84
251.70	250.24
248.85	244.74
249.34	244.53
247.29	252.88
247.53	245.33
245.86	249.35
250.33	248.99
245.32	252.83
248.06	250.12
253.26	248.10
245.89	246.25
251.62	247.07
254.65	254.17
249.86	NA
253.05	251.72
247.66	253.19
251.49	249.07
243.70	250.68
253.59	253.68
246.50	247.45
254.91	246.61
243.25	253.68
251.54	253.51
252.82	244.73
251.41	249.83
252.16	244.24
243.45	251.18
247.67	251.92
247.49	NA
245.42	253.16
244.97	250.61
244.73	253.50
250.16	252.93
244.09	245.59
251.65	254.06
254.65	246.97
244.37	245.58
249.04	255.41
254.07	250.80
251.20	244.84
246.91	253.04
253.65	245.95
248.66	246.07
251.68	244.13
254.71	253.57
243.62	253.34
251.85	246.42
250.67	255.28
245.09	247.00
243.47	253.24
251.38	249.48
252.97	248.79
247.92	250.33
246.29	252.81
248.48	248.59
253.94	254.11
250.37	246.87
250.44	254.52
249.42	245.05
243.31	244.20
243.76	253.80
248.25	248.02
248.09	255.89
247.11	249.49
246.10	250.80
248.01	244.74
243.42	254.68
250.63	254.50
254.13	244.16
245.71	247.26
248.00	252.79
252.50	247.02
248.79	247.41
245.08	247.15
249.03	246.94
244.87	253.98
253.51	247.35
249.43	250.81
249.33	249.34
244.70	244.22
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
