Kontzentrazioa.hasieran	Kontzentrazioa.bukaeran
14644	15730
19564	12151
18022	8063
18475	7480
9148	10933
10917	16746
9850	15623
12639	9564
16730	9038
19250	7229
13442	9990
11096	12375
19412	14864
16310	9904
9156	10078
17298	13851
9740	11391
13410	12914
11841	17421
15877	16141
12862	17552
17728	17783
11515	15125
10954	11118
12553	14340
10252	13211
9169	11652
12630	14434
10343	13017
16884	11494
13423	9419
16571	15327
17002	13802
16306	10583
17139	7977
11420	9149
18221	7608
10040	7873
19239	12046
18397	13714
9892	18072
19763	11919
15165	8111
15691	9811
15894	16337
10419	10333
12538	14568
15571	11800
13874	14055
11089	16797
17499	12149
16841	12900
10539	11947
15979	13537
17040	14376
16884	16038
12799	12035
15620	16730
16583	11346
17468	16407
10222	16180
18160	7238
16118	15556
16232	7988
19721	14787
16538	10625
8987	7958
14210	12686
18831	17410
16963	8047
17166	11092
9808	7594
12934	12776
16160	9665
9962	12147
15180	9477
9711	7220
11679	8632
16158	14002
16557	12273
17259	13540
19134	9994
10596	7957
9636	13278
14974	11840
9411	15962
19797	16968
18921	11421
15065	11705
12590	15778
10693	8104
12523	10735
12583	17807
9135	7234
11910	14722
11695	17560
14387	12575
15905	12742
12402	8283
19251	8680
15171	15186
16770	7575
17190	14552
15277	8209
8978	13612
13044	7348
12580	7314
19224	7235
9718	16404
9417	16037
13229	11922
13049	13318
12836	15056
14848	10732
10968	9613
15906	12134
13664	11967
17951	7735
15873	8458
15160	8903
10255	14347
15914	10951
19332	11485
17795	16031
17648	12320
15249	9509
11683	7671
13427	9851
9335	17564
16404	17475
11720	11696
18821	8951
10706	12494
14371	10759
10957	10965
19329	17324
12366	12993
12025	17144
14102	15671
12424	10592
10768	14509
16181	10634
18066	15302
16855	15353
11894	17315
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
