Lehen	Ondoren												
4.60	5.08													
4.99	5.72													
4.09	5.59													
4.62	6.24													
4.83	6.83													
5.14	5.92													
NA	5.99													
4.28	4.25													
4.78	7.04													
4.85	6.88													
4.25	6.82													
4.41	5.48													
4.69	6.88													
4.33	6.15													
4.69	5.49													
4.09	5.75													
4.27	5.88													
3.93	6.38													
NA	6.36													
4.74	7.62													
4.83	7.63													
4.26	6.96													
4.74	5.58													
4.61	6.83													
4.50	6.94													
4.57	6.81													
4.33	6.58													
5.01	5.91													
5.02	6.93													
4.81	6.65													
4.77	5.89													
3.98	6.22													
4.45	6.64													
4.66	5.50													
4.23	7.59													
4.32	7.08													
4.72	6.21													
4.77	6.95													
3.84	5.31													
4.82	7.16													
5.08	8.07													
3.99	6.42													
4.62	6.52													
4.43	6.87													
3.97	6.31													
4.49	5.03													
4.21	4.98													
4.13	6.43													
4.37	6.22													
4.32	6.92													
NA	6.55													
5.03	6.83													
4.06	6.99													
4.40	6.82													
4.23	6.86													
5.24	7.39													
4.25	6.04													
4.43	6.65													
3.97	6.99													
4.16	5.85													
4.68	6.35
5.09	6.88
4.22	7.52
4.99	5.99		
5.22	6.38
4.33	7.25
4.88	6.89
4.75	5.88	
4.33	6.32
4.22	5.55
4.89	5.23
5.08	6.76
4.77	7.06	
4.84	6.28
NA	4.55
3.87	7.36
4.22	4.99
NA	6.79
4.38	5.97
4.77	6.57
